time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-11-17T04:57:56.740Z,-9.68,155.2546,10,4.1,mb,,77,4.634,1.49,us,usb000t24u,2015-02-12T01:42:52.040Z,"246 km SW of Gizo, Solomon Islands",earthquake,12.9,1.9,0.213,8,reviewed,us,us
2014-11-17T08:38:25.780Z,-9.578,155.3369,10,4.3,mb,,96,6.182,0.92,us,usb000t24z,2015-02-12T01:42:53.040Z,"232 km SW of Gizo, Solomon Islands",earthquake,12.2,1.7,0.154,13,reviewed,us,us
2014-11-17T12:49:04.040Z,-9.3051,155.0825,22.73,4.1,mb,,202,4.802,0.32,us,usb000t23k,2015-02-12T01:42:53.040Z,"234 km SW of Gizo, Solomon Islands",earthquake,12.7,8.8,0.184,9,reviewed,us,us
2014-11-17T13:23:19.250Z,-9.7028,155.5022,21.96,4.4,mb,,120,6.374,0.96,us,usc000sy4j,2015-02-12T01:42:53.040Z,"230 km SW of Gizo, Solomon Islands",earthquake,10,5.3,0.143,15,reviewed,us,us
2014-11-17T13:27:17.440Z,-9.7745,155.1421,19.99,5.3,mwc,,27,4.75,0.91,us,usc000sy4g,2016-11-10T21:45:19.690Z,"262 km SW of Gizo, Solomon Islands",earthquake,7.7,2.4,,,reviewed,us,gcmt
2014-11-17T13:32:32.710Z,-10.0509,154.7842,15.02,4.3,mb,,164,5.125,0.7,us,usb000t23z,2015-02-12T01:42:54.040Z,"D'Entrecasteaux Islands region",earthquake,14.9,6.5,0.187,9,reviewed,us,us
2014-11-17T17:53:34.170Z,-9.5396,155.4244,25.11,4,mb,,89,6.196,0.82,us,usb000t248,2015-02-12T01:42:55.040Z,"D'Entrecasteaux Islands region",earthquake,14.2,5.5,0.196,8,reviewed,us,us
2014-11-18T00:28:13.720Z,-9.6382,155.4203,10,4,mb,,84,6.276,0.48,us,usb000t276,2015-02-12T01:42:56.040Z,"D'Entrecasteaux Islands region",earthquake,5.5,1.9,0.156,13,reviewed,us,us
2014-11-19T02:56:27.130Z,-10.4824,123.8436,24.54,5.2,mb,,79,0.326,1.1,us,usc000syql,2015-02-18T03:30:45.040Z,"43 km SE of Kupang, Indonesia",earthquake,5.2,4.5,0.073,64,reviewed,us,us
2014-11-19T03:07:26.360Z,-10.3785,123.9375,35,4.3,mb,,86,0.699,1.02,us,usc000syrf,2015-02-18T03:30:45.040Z,"42 km ESE of Kupang, Indonesia",earthquake,5.8,2,0.238,6,reviewed,us,us
2014-11-19T14:08:39.790Z,-10.5064,123.9655,19.29,4.2,mb,,147,0.42,1.2,us,usb000t2hq,2015-02-18T03:30:46.040Z,"54 km SE of Kupang, Indonesia",earthquake,5.2,7.8,0.305,3,reviewed,us,us
2014-11-21T18:54:51.870Z,-9.5645,155.3535,22.78,4.1,mb,,181,6.206,0.79,us,usc000t3xw,2015-02-18T03:30:52.040Z,"230 km SW of Gizo, Solomon Islands",earthquake,17.6,6.2,0.261,5,reviewed,us,us
2014-11-21T18:55:07.590Z,-9.5593,155.2553,23.04,4.2,mb,,210,6.152,0.53,us,usc000t3yp,2015-02-18T03:30:52.040Z,"237 km SW of Gizo, Solomon Islands",earthquake,17.8,6.7,0.167,11,reviewed,us,us
2014-11-24T07:33:00.580Z,-9.6015,155.4643,10,4.5,mb,,78,4.425,1.28,us,usc000t4kh,2015-02-18T03:30:57.040Z,"224 km SW of Gizo, Solomon Islands",earthquake,7.7,1.9,0.128,19,reviewed,us,us
2014-11-25T16:47:51.480Z,-11.5572,117.5099,10,4.3,mb,,71,4.51,0.92,us,usc000t4u5,2015-02-18T03:30:59.040Z,"south of Sumbawa, Indonesia",earthquake,6.9,1.9,0.142,16,reviewed,us,us
2014-11-28T03:01:45.000Z,-26.054,112.569,15,4,mb,,,,1.15,us,usc000t5y1,2015-02-24T00:35:08.040Z,"97 km W of Denham, Australia",earthquake,11.2,8.8,0.259,5,reviewed,aust,us
2014-11-28T09:42:16.250Z,-10.5477,124.4143,35,4.2,mb,,110,0.8,1.41,us,usc000t5yu,2015-02-24T00:35:09.040Z,"77 km S of Soe, Indonesia",earthquake,7,1.9,0.306,3,reviewed,us,us
2014-12-01T10:25:16.100Z,-21.6482,131.1734,10,4.5,mb,,58,3.224,1.46,us,usb000t1ig,2015-02-24T00:35:15.040Z,"Northern Territory, Australia",earthquake,4.8,1.9,0.54,3,reviewed,us,us
2014-12-03T19:05:10.000Z,-38.102,145.442,10,3.6,mb,,,,0.29,us,usc000t3l2,2022-07-27T09:31:38.779Z,"4 km SW of Pakenham, Australia",earthquake,5.1,7.8,0.25,4,reviewed,aust,us
2014-12-05T11:27:00.850Z,-9.3627,118.8587,35,4,mb,,99,3.415,1.11,us,usc000t7ut,2015-02-28T02:16:09.040Z,"100 km S of Bima, Indonesia",earthquake,6,1.9,0.196,7,reviewed,us,us
2014-12-08T03:10:08.720Z,-9.178,122.5242,136.27,4.1,mb,,88,0.608,1.44,us,usc000t4hq,2015-02-28T02:16:13.040Z,"70 km SSE of Maumere, Indonesia",earthquake,8.1,3.2,0.127,17,reviewed,us,us
2014-12-08T21:48:16.080Z,-9.8688,150.0534,20.5,4,mb,,154,2.89,0.85,us,usc000t9ek,2015-02-28T02:16:14.040Z,"66 km NW of Alotau, Papua New Guinea",earthquake,9.6,6.5,0.173,9,reviewed,us,us
2014-12-09T20:20:23.130Z,-10.8664,123.8749,10,4.7,mb,,45,1.169,1.24,us,usc000t4wz,2015-02-28T02:16:16.040Z,"82 km SSE of Kupang, Indonesia",earthquake,4.6,1.8,0.072,61,reviewed,us,us
2014-12-17T19:46:51.880Z,-9.6087,155.1066,10,4.7,mb,,65,4.778,1.31,us,usc000t7qz,2015-03-06T02:59:00.040Z,"253 km SW of Gizo, Solomon Islands",earthquake,6.6,1.9,0.106,30,reviewed,us,us
2014-12-23T13:37:42.900Z,-9.8427,123.9476,67.77,4.4,mb,,59,0.326,0.87,us,usc000t9dc,2015-03-06T02:59:12.040Z,"33 km SE of Naisano Dua, Indonesia",earthquake,5.3,6.2,0.161,14,reviewed,us,us
2014-12-27T16:04:41.360Z,-9.4443,155.0646,10,4.3,mb,,119,4.817,1.03,us,usc000ta8u,2015-03-17T02:37:30.040Z,"245 km SW of Gizo, Solomon Islands",earthquake,10.1,1.9,0.154,13,reviewed,us,us
2015-01-01T15:45:49.500Z,-9.4648,113.3892,51.54,4,mb,,85,1.242,1.29,us,usc000tg5g,2015-03-27T07:01:01.040Z,"130 km S of Kencong, Indonesia",earthquake,7,5.8,0.196,7,reviewed,us,us
2015-01-06T21:04:39.700Z,-10.5845,120.3776,44.72,4.1,mb,,77,2.667,1.29,us,usc000th70,2015-03-27T07:02:20.040Z,"103 km S of Waingapu, Indonesia",earthquake,9.2,11.4,0.197,7,reviewed,us,us
2015-01-08T05:37:28.090Z,-10.6294,120.4844,40.84,4.1,mb,,79,2.629,1.15,us,usc000thhp,2015-04-10T18:56:33.040Z,"110 km SSE of Waingapu, Indonesia",earthquake,5.4,8.6,0.158,11,reviewed,us,us
2015-01-13T15:06:39.580Z,-10.5391,123.66,22.38,4.4,mb,,71,0.33,1.42,us,usc000timw,2015-04-10T18:56:37.040Z,"41 km S of Kupang, Indonesia",earthquake,5.5,7.4,0.179,10,reviewed,us,us
2015-01-14T08:01:28.530Z,-9.5642,112.9184,45.3,4.3,mb,,88,1.633,1.03,us,usc000tfk9,2015-04-10T18:56:33.040Z,"149 km SSW of Kencong, Indonesia",earthquake,5.5,9.1,0.168,11,reviewed,us,us
2015-01-15T13:18:35.930Z,-9.5714,112.8937,48.89,4.2,mb,,114,1.656,1.33,us,usc000tj3v,2015-04-20T15:34:44.040Z,"151 km S of Dampit, Indonesia",earthquake,9.3,10.4,0.2,7,reviewed,us,us
2015-01-16T00:32:25.980Z,-9.101,109.7771,54.22,4.2,mb,,71,1.392,0.43,us,usc000tj5e,2015-04-20T15:34:48.040Z,"138 km SSW of Srandakan, Indonesia",earthquake,7.7,7.1,0.16,11,reviewed,us,us
2015-01-16T22:57:52.420Z,-9.5877,117.7646,65.45,4.1,mb,,87,3.737,0.97,us,usc000tj6b,2015-04-20T15:34:54.040Z,"126 km SSE of Sumbawa Besar, Indonesia",earthquake,7,7.9,0.185,10,reviewed,us,us
2015-01-23T00:05:46.410Z,-10.63,123.8512,10,4.2,mb,,97,0.459,1.23,us,usc000tkxq,2015-04-24T16:55:53.040Z,"57 km SSE of Kupang, Indonesia",earthquake,5.9,2,0.263,4,reviewed,us,us
2015-01-24T19:16:32.720Z,-9.1804,113.099,58.71,4,mb,,84,1.257,1.03,us,usc000tl0h,2015-04-24T16:56:00.040Z,"103 km SSW of Kencong, Indonesia",earthquake,6.3,10.3,0.183,9,reviewed,us,us
2015-01-27T18:30:41.140Z,-9.1428,127.0033,49.94,4.1,mb,,82,2.767,0.99,us,usc000tlii,2015-04-24T16:56:14.040Z,"Timor Sea",earthquake,5.5,10.9,0.197,8,reviewed,us,us
2015-01-28T18:19:20.850Z,-9.9314,118.0498,63.28,4.4,mb,,87,4.112,0.91,us,usb000tj09,2015-04-24T16:54:52.040Z,"160 km SSW of Dompu, Indonesia",earthquake,6.6,7.8,0.092,37,reviewed,us,us
